policy,num_stas,seed,critical_pdr,high_pdr,normal_pdr,overall_pdr,critical_throughput_share,high_throughput_share,normal_throughput_share,elapsed_s
chang2019,1000,7,0.06547619047619048,0.05876494023904383,0.060600303951367784,0.060583333333333336,0.09834938101788171,0.24346629986244842,0.6581843191196699,81.51
chang2019,1000,99,0.05723443223443223,0.05411686586985392,0.05648429584599798,0.05595833333333333,0.09307520476545049,0.24274013402829486,0.6641846612062546,91.26
cluster_adaptive,100,42,0.9886363636363636,0.985,0.9856770833333334,0.9858333333333333,0.11031276415891801,0.24978867286559595,0.6398985629754861,2.72
cluster_adaptive,100,7,0.9810606060606061,0.9833333333333333,0.9830729166666666,0.9829166666666667,0.10979228486646884,0.25010597710894444,0.6401017380245867,2.78
cluster_adaptive,100,99,0.9924242424242424,0.9866666666666667,0.98828125,0.9883333333333333,0.11045531197301856,0.24957841483979765,0.6399662731871838,2.73
cluster_adaptive,200,42,0.9467592592592593,0.9214015151515151,0.9227053140096618,0.9245833333333333,0.09215863001351961,0.2192429022082019,0.6885984677782785,7.52
cluster_adaptive,200,7,0.9375,0.9270833333333334,0.9184782608695652,0.9220833333333334,0.09150474469046543,0.22119295074559422,0.6873023045639404,7.61
cluster_adaptive,200,99,0.9236111111111112,0.9299242424242424,0.9251207729468599,0.9260416666666667,0.08976377952755905,0.22092238470191225,0.6893138357705287,7.65
cluster_adaptive,400,42,0.4014227642276423,0.3850574712643678,0.3918504901960784,0.39135416666666667,0.10513707745541656,0.21400053233963268,0.6808623902049508,17.31
cluster_adaptive,400,7,0.38922764227642276,0.3726053639846743,0.38480392156862747,0.3826041666666667,0.10427443506670296,0.21181595426082223,0.6839096106724748,17.77
cluster_adaptive,400,99,0.40752032520325204,0.41139846743295017,0.38465073529411764,0.3928125,0.10633784142137365,0.22779103686024926,0.665871121718377,17.11
cluster_adaptive,600,42,0.21120689655172414,0.19434731934731936,0.2234753550543024,0.21534722222222222,0.09480812641083522,0.21509190583682683,0.690099967752338,25.24
cluster_adaptive,600,7,0.20402298850574713,0.20192307692307693,0.2210735171261487,0.2148611111111111,0.09179056237879767,0.2239819004524887,0.6842275371687137,25.41
cluster_adaptive,600,99,0.22054597701149425,0.21124708624708624,0.2149122807017544,0.21458333333333332,0.09935275080906149,0.23462783171521034,0.6660194174757281,25.47
cluster_adaptive,800,42,0.14872685185185186,0.13696581196581198,0.133599124452783,0.13578125,0.0985807441503644,0.2458764863828155,0.6555427694668201,31.06
cluster_adaptive,800,7,0.14988425925925927,0.12884615384615383,0.1348499061913696,0.13473958333333333,0.10011596443757248,0.23308851952068033,0.6667955160417472,31.62
cluster_adaptive,800,99,0.14351851851851852,0.12735042735042734,0.13328642901813634,0.13276041666666666,0.09729305610043154,0.2338171832091016,0.6688897606904668,30.92
cluster_adaptive,1000,42,0.09615384615384616,0.08648738379814078,0.09764437689969604,0.09470833333333334,0.09238891333040035,0.22921249450065992,0.6783985921689397,36.12
cluster_adaptive,1000,7,0.10119047619047619,0.08515936254980079,0.0977710233029382,0.09491666666666666,0.09701492537313433,0.22519754170324846,0.6777875329236172,36.05
cluster_adaptive,1000,99,0.10897435897435898,0.08748339973439576,0.10106382978723404,0.098375,0.10080474375264718,0.22321050402371875,0.6759847522236341,35.36
cluster_csv,100,42,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.51
cluster_csv,100,7,0.9886363636363636,0.9866666666666667,0.9869791666666666,0.9870833333333333,0.11017306880540312,0.24989447024060785,0.639932460953989,2.62
cluster_csv,100,99,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.59
cluster_csv,200,42,0.9328703703703703,0.8816287878787878,0.8900966183574879,0.8920833333333333,0.09411489957963569,0.2174217655301261,0.6884633348902383,7.23
cluster_csv,200,7,0.9120370370370371,0.8778409090909091,0.8765096618357487,0.88,0.09327651515151515,0.21946022727272727,0.6872632575757576,7.59
cluster_csv,200,99,0.8958333333333334,0.8882575757575758,0.8716787439613527,0.8775,0.09188034188034189,0.22269705603038936,0.6854226020892688,7.51
cluster_csv,400,42,0.3902439024390244,0.36973180076628354,0.3912377450980392,0.38645833333333335,0.10350404312668464,0.20808625336927225,0.6884097035040432,15.83
cluster_csv,400,7,0.4115853658536585,0.37787356321839083,0.38526348039215685,0.38635416666666667,0.10919385279050957,0.21272580210299272,0.6780803451064977,16.47
cluster_csv,400,99,0.41260162601626016,0.41044061302681994,0.3737745098039216,0.3857291666666667,0.10964083175803403,0.2314339724547664,0.6589251957871995,16.43
cluster_csv,600,42,0.1910919540229885,0.20279720279720279,0.21783625730994152,0.21166666666666667,0.08727034120734908,0.2283464566929134,0.6843832020997376,341.09
cluster_csv,600,7,0.21839080459770116,0.21241258741258742,0.21146616541353383,0.2123611111111111,0.09941137998691955,0.23839110529758012,0.6621975147155004,109.58
cluster_csv,600,99,0.21695402298850575,0.19289044289044288,0.21961152882205515,0.2129861111111111,0.09846755787414412,0.21584610368438215,0.6856863384414738,119.65
cluster_csv,800,42,0.17997685185185186,0.12927350427350429,0.13961851156973107,0.14072916666666666,0.115099925980755,0.2239082161361954,0.6609918578830496,408.77
cluster_csv,800,7,0.14699074074074073,0.12350427350427351,0.14274546591619763,0.1384375,0.09556057185854025,0.21745673438675697,0.6869826937547028,30.32
cluster_csv,800,99,0.1597222222222222,0.1329059829059829,0.13985303314571607,0.13994791666666667,0.10271678451804987,0.23148492742835877,0.6657982880535913,30.64
cluster_csv,1000,42,0.10851648351648352,0.09594953519256308,0.09954407294832827,0.09945833333333333,0.09928780896522832,0.24214495182237117,0.6585672392124005,34.14
cluster_csv,1000,7,0.09844322344322344,0.08947543160690571,0.10631965552178319,0.101375,0.08836826962597616,0.22153719687628443,0.6900945334977394,34.79
cluster_csv,1000,99,0.10622710622710622,0.08914342629482072,0.1009371833839919,0.09845833333333333,0.098180279305967,0.2272534913245874,0.6745662293694457,34.79
etaroa,100,42,0.9886363636363636,0.9866666666666667,0.9876302083333334,0.9875,0.11012658227848102,0.249789029535865,0.640084388185654,2.15
etaroa,100,7,0.9848484848484849,0.9833333333333333,0.9830729166666666,0.9833333333333333,0.11016949152542373,0.25,0.6398305084745762,2.3
etaroa,100,99,0.9886363636363636,0.9866666666666667,0.9876302083333334,0.9875,0.11012658227848102,0.249789029535865,0.640084388185654,2.19
etaroa,200,42,0.9375,0.9318181818181818,0.918780193236715,0.9233333333333333,0.09138086642599277,0.22202166064981949,0.6865974729241877,6.45
etaroa,200,7,0.9537037037037037,0.9422348484848485,0.9293478260869565,0.934375,0.09186176142697881,0.221850613154961,0.6862876254180602,6.57
etaroa,200,99,0.9421296296296297,0.9365530303030303,0.9254227053140096,0.929375,0.0912351490697153,0.2216991705895539,0.6870656803407308,6.67
etaroa,400,42,0.4014227642276423,0.37308429118773945,0.3837316176470588,0.3832291666666667,0.10736613210111444,0.21174232128295734,0.6808915466159282,14.42
etaroa,400,7,0.39227642276422764,0.40086206896551724,0.3789828431372549,0.3851041666666667,0.10440898025426021,0.22639978360833107,0.6691912361374087,14.64
etaroa,400,99,0.3851626016260163,0.40086206896551724,0.3707107843137255,0.37875,0.10423542354235424,0.2301980198019802,0.6655665566556656,15.07
etaroa,600,42,0.21982758620689655,0.1960955710955711,0.21031746031746032,0.2078472222222222,0.10223855663214167,0.2248580020046776,0.6729034413631808,21.37
etaroa,600,7,0.22054597701149425,0.21037296037296038,0.20258980785296574,0.20618055555555556,0.1034018187942068,0.24317952172448637,0.6534186594813068,21.43
etaroa,600,99,0.22844827586206898,0.2097902097902098,0.20561821219715956,0.20881944444444445,0.10575324243431992,0.23944130362487528,0.6548054539408048,21.99
etaroa,800,42,0.125,0.12884615384615383,0.13696060037523453,0.13390625,0.08401400233372229,0.23453908984830804,0.6814469078179697,27.24
etaroa,800,7,0.1412037037037037,0.11538461538461539,0.13406816760475296,0.13015625,0.0976390556222489,0.21608643457382953,0.6862745098039216,28.16
etaroa,800,99,0.1440972222222222,0.12692307692307692,0.13141025641025642,0.13145833333333334,0.09865293185419968,0.2353407290015848,0.6660063391442155,27.83
etaroa,1000,42,0.09432234432234432,0.09080345285524569,0.09732776089159068,0.09541666666666666,0.08995633187772925,0.2388646288209607,0.6711790393013101,31.9
etaroa,1000,7,0.10027472527472528,0.09296148738379814,0.09770770010131712,0.09675,0.09431524547803617,0.24117140396210163,0.6645133505598622,31.28
etaroa,1000,99,0.10622710622710622,0.10258964143426295,0.09517477203647416,0.09804166666666667,0.09859753506162346,0.2626434339141521,0.6387590310242244,31.84
