policy,n,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,e_total_mj,e_sleep_mj,e_idle_mj,ee_kbit_j,e_per_pkt_uj
ddqn,400,42,0.444792,36.437333,3930.610153,9883.919302,0.555208,0.809488,0.416434,0.416331,1.0,471.20836,52.094071,279.044937,23.19823,44141.298345
ddqn,400,7,0.342187,28.032,4030.780763,10700.459773,0.657813,0.782504,0.402145,0.402145,1.0,406.784979,53.554486,221.603164,20.67333,49532.417527
ddqn,400,99,0.375417,30.754133,3970.67437,10513.789804,0.624583,0.789344,0.472969,0.472862,1.0,430.431111,53.103911,238.856165,21.434882,47772.598344
ddqn,600,42,0.172292,21.1712,8562.731204,22973.948953,0.827708,0.721279,0.366743,0.366743,1.0,376.786489,53.991603,205.810296,11.23777,91121.278987
ddqn,600,7,0.209028,25.685333,7088.338663,20200.829397,0.790972,0.783936,0.384856,0.384856,1.0,425.68803,52.808029,252.796361,12.067679,84854.756876
ddqn,600,99,0.269583,33.1264,5733.07833,15175.677062,0.730417,0.732517,0.39713,0.39713,1.0,467.251084,51.865147,289.885603,14.179272,72218.096394
ddqn,800,42,0.219583,35.976533,6773.763168,19739.429584,0.780417,0.740413,0.340978,0.340978,1.0,484.654866,51.289429,313.564831,11.134687,91964.870224
ddqn,800,7,0.16,26.2144,6005.304356,17266.583868,0.84,0.626446,0.512617,0.512357,1.0,539.092582,49.946752,367.040303,7.294035,140388.693273
ddqn,800,99,0.158698,26.001067,7681.343177,25695.128896,0.841302,0.655702,0.459992,0.459896,1.0,481.525266,51.362665,310.697078,8.099596,126426.062726
ddqn,1000,42,0.104417,21.384533,17198.496364,46580.511512,0.895583,0.754398,0.262676,0.262676,1.0,477.918507,51.243392,316.520842,5.369418,190709.699632
ddqn,1000,7,0.100833,20.650667,17254.20326,51559.374275,0.899167,0.761624,0.246049,0.246049,1.0,470.970199,51.412872,309.784258,5.261649,194615.784515
ddqn,1000,99,0.15025,30.7712,9735.97224,29499.790766,0.84975,0.758826,0.289849,0.289849,1.0,572.116431,48.91398,409.257231,6.454183,158656.802956
ppo,100,42,0.9225,18.8928,1429.525024,3905.283003,0.0775,0.996381,0.232572,0.232572,1.0,402.328922,54.266986,189.943975,56.350311,18172.038028
ppo,100,7,0.999583,20.471467,1179.987838,2905.727053,0.000417,0.999983,0.224868,0.224868,1.0,417.212463,53.985498,200.681975,58.880695,17391.098929
ppo,100,99,0.95875,19.6352,1587.485991,4904.061899,0.04125,0.998059,0.246085,0.246085,1.0,412.988521,54.078089,197.072864,57.053014,17948.219064
ppo,200,42,0.686042,28.100267,3179.338034,7970.758847,0.313958,0.973049,0.342602,0.342602,1.0,428.750232,53.460183,222.944778,39.323967,26040.099145
ppo,200,7,0.629375,25.7792,2954.055649,7823.641143,0.370625,0.93934,0.381448,0.381448,1.0,403.621346,54.101878,197.309599,38.321858,26721.042455
ppo,200,99,0.84875,34.7648,2237.016298,5269.916712,0.15125,0.98724,0.384406,0.384406,1.0,494.629529,52.097902,275.783049,42.170713,24282.254742
ppo,400,42,0.382708,31.351467,3896.75193,9630.334145,0.617292,0.783072,0.47399,0.473779,1.0,476.788786,51.928629,285.799252,19.726638,51909.503103
