mode,n,episode,seed,pdr,qtable_states,epsilon,episode_count,update_count
ppo,400,10,88,0.5692708333333333,0,0.4,11,241
ppo,400,11,21,0.5551041666666666,0,0.4,12,241
ppo,400,12,34,0.5861458333333334,0,0.4,13,241
ppo,400,13,89,0.5821875,0,0.4,14,241
ppo,400,14,144,0.568125,0,0.4,15,241
ppo,400,15,233,0.5665625,0,0.4,16,241
ppo,400,16,377,0.5789583333333334,0,0.4,17,241
ppo,400,17,610,0.5628125,0,0.4,18,241
ppo,400,18,987,0.566875,0,0.4,19,241
ppo,400,19,1597,0.5719791666666667,0,0.4,20,241
ppo,600,1,0,0.22944444444444445,0,0.4,2,241
ppo,600,2,100,0.27569444444444446,0,0.4,3,241
ppo,600,3,200,0.3120833333333333,0,0.4,4,241
ppo,600,4,300,0.3209722222222222,0,0.4,5,241
ppo,600,5,400,0.38902777777777775,0,0.4,6,241
ppo,600,6,13,0.3829166666666667,0,0.4,7,241
ppo,600,7,77,0.28625,0,0.4,8,241
ppo,600,8,31,0.3120833333333333,0,0.4,9,241
ppo,600,9,55,0.33791666666666664,0,0.4,10,241
ppo,600,10,88,0.3186111111111111,0,0.4,11,241
ppo,600,11,21,0.3295138888888889,0,0.4,12,241
ppo,600,12,34,0.30333333333333334,0,0.4,13,241
ppo,600,13,89,0.3907638888888889,0,0.4,14,241
ppo,600,14,144,0.25125,0,0.4,15,241
ppo,600,15,233,0.23520833333333332,0,0.4,16,241
ppo,600,16,377,0.35305555555555557,0,0.4,17,241
ppo,600,17,610,0.31451388888888887,0,0.4,18,241
ppo,600,18,987,0.30756944444444445,0,0.4,19,241
ppo,600,19,1597,0.24743055555555554,0,0.4,20,241
ppo,600,20,2584,0.15,0,0.4,21,241
ppo,800,1,0,0.17151041666666667,0,0.4,2,241
ppo,800,2,100,0.19130208333333334,0,0.4,3,241
ppo,800,3,200,0.17364583333333333,0,0.4,4,241
ppo,800,4,300,0.21947916666666667,0,0.4,5,241
ppo,800,5,400,0.2641145833333333,0,0.4,6,241
ppo,800,6,13,0.23635416666666667,0,0.4,7,241
ppo,800,7,77,0.24953125,0,0.4,8,241
ppo,800,8,31,0.23338541666666668,0,0.4,9,241
ppo,800,9,55,0.26067708333333334,0,0.4,10,241
ppo,800,10,88,0.27520833333333333,0,0.4,11,241
ppo,800,11,21,0.27020833333333333,0,0.4,12,241
ppo,800,12,34,0.24348958333333334,0,0.4,13,241
ppo,800,13,89,0.2625,0,0.4,14,241
ppo,800,14,144,0.27229166666666665,0,0.4,15,241
ppo,800,15,233,0.27260416666666665,0,0.4,16,241
ppo,1000,1,0,0.16133333333333333,0,0.4,2,241
ppo,1000,2,100,0.16954166666666667,0,0.4,3,241
ppo,1000,3,200,0.17195833333333332,0,0.4,4,241
